region,region_code,age,rural,urban,all
NM,840-35,0,,0,0
NM,840-35,1,,0,0
NM,840-35,2,,0,0
NM,840-35,3,,0,0
NM,840-35,4,,0,0
NM,840-35,5,,0,0
NM,840-35,6,,0,0
NM,840-35,7,,0,0
NM,840-35,8,,0,0
NM,840-35,9,,0,0
NM,840-35,10,,0,0
NM,840-35,11,,0,0
NM,840-35,12,,0,0
NM,840-35,13,,0,0
NM,840-35,14,,0,0
NM,840-35,15,,0.00983651,0.00983651
NM,840-35,16,,0.02785795,0.02785795
NM,840-35,17,,0.03635181,0.03635181
NM,840-35,18,,0.060501526,0.060501526
NM,840-35,19,,0.083912236,0.083912236
NM,840-35,20,,0.132325745,0.132325745
NM,840-35,21,,0.124386005,0.124386005
NM,840-35,22,,0.140338199,0.140338199
NM,840-35,23,,0.120285261,0.120285261
NM,840-35,24,,0.108852093,0.108852093
NM,840-35,25,,0.119232763,0.119232763
NM,840-35,26,,0.100006649,0.100006649
NM,840-35,27,,0.136972434,0.136972434
NM,840-35,28,,0.099529526,0.099529526
NM,840-35,29,,0.123591014,0.123591014
NM,840-35,30,,0.134458035,0.134458035
NM,840-35,31,,0.064576271,0.064576271
NM,840-35,32,,0.121859511,0.121859511
NM,840-35,33,,0.080100968,0.080100968
NM,840-35,34,,0.055858748,0.055858748
NM,840-35,35,,0.070644881,0.070644881
NM,840-35,36,,0.045092,0.045092
NM,840-35,37,,0.041874297,0.041874297
NM,840-35,38,,0.045617465,0.045617465
NM,840-35,39,,0.034342953,0.034342953
NM,840-35,40,,0.017697776,0.017697776
NM,840-35,41,,0.028906956,0.028906956
NM,840-35,42,,0.015155848,0.015155848
NM,840-35,43,,0.017481459,0.017481459
NM,840-35,44,,0.01821788,0.01821788
NM,840-35,45,,0.001852955,0.001852955
NM,840-35,46,,0.003060716,0.003060716
NM,840-35,47,,0.001367708,0.001367708
NM,840-35,48,,0.002329141,0.002329141
NM,840-35,49,,0,0
NM,840-35,50,,0.002022679,0.002022679
NM,840-35,51,,0,0
NM,840-35,52,,0,0
NM,840-35,53,,0,0
NM,840-35,54,,0,0
NM,840-35,55,,0,0
NM,840-35,56,,0,0
NM,840-35,57,,0,0
NM,840-35,58,,0,0
NM,840-35,59,,0,0
NM,840-35,60,,0,0
NM,840-35,61,,0,0
NM,840-35,62,,0,0
NM,840-35,63,,0,0
NM,840-35,64,,0,0
NM,840-35,65,,0,0
NM,840-35,66,,0,0
NM,840-35,67,,0,0
NM,840-35,68,,0,0
NM,840-35,69,,0,0
NM,840-35,70,,0,0
NM,840-35,71,,0,0
NM,840-35,72,,0,0
NM,840-35,73,,0,0
NM,840-35,74,,0,0
NM,840-35,75,,0,0
NM,840-35,76,,0,0
NM,840-35,77,,0,0
NM,840-35,78,,0,0
NM,840-35,79,,0,0
NM,840-35,80,,0,0
NM,840-35,81,,0,0
NM,840-35,82,,0,0
NM,840-35,83,,0,0
NM,840-35,84,,0,0
NM,840-35,85,,0,0
NM,840-35,86,,0,0
NM,840-35,87,,0,0
NM,840-35,88,,0,0
NM,840-35,89,,0,0
NM,840-35,90,,0,0
NM,840-35,91,,0,0
NM,840-35,92,,0,0
NM,840-35,93,,0,0
NM,840-35,94,,0,0
NM,840-35,95,,0,0
NM,840-35,96,,0,0
NM,840-35,97,,0,0
NM,840-35,98,,0,0
NM,840-35,99,,0,0
NM,840-35,100,,0,0
