"from","to","gender","age","rate"
"NY","AK","m","0","0.0000268"
"NY","AK","m","1","0.0000268"
"NY","AK","m","2","0.0000268"
"NY","AK","m","3","0.0000268"
"NY","AK","m","4","0.0000268"
"NY","AK","m","5","0.0000579"
"NY","AK","m","6","0.0000579"
"NY","AK","m","7","0.0000579"
"NY","AK","m","8","0.0000579"
"NY","AK","m","9","0.0000579"
"NY","AK","m","10","0"
"NY","AK","m","11","0"
"NY","AK","m","12","0"
"NY","AK","m","13","0"
"NY","AK","m","14","0"
"NY","AK","m","15","0.0000381"
"NY","AK","m","16","0.0000381"
"NY","AK","m","17","0.0000381"
"NY","AK","m","18","0.0000381"
"NY","AK","m","19","0.0000381"
"NY","AK","m","20","0.000136141"
"NY","AK","m","21","0.000136141"
"NY","AK","m","22","0.000136141"
"NY","AK","m","23","0.000136141"
"NY","AK","m","24","0.000136141"
"NY","AK","m","25","0.0000646"
"NY","AK","m","26","0.0000646"
"NY","AK","m","27","0.0000646"
"NY","AK","m","28","0.0000646"
"NY","AK","m","29","0.0000646"
"NY","AK","m","30","0.0000484"
"NY","AK","m","31","0.0000484"
"NY","AK","m","32","0.0000484"
"NY","AK","m","33","0.0000484"
"NY","AK","m","34","0.0000484"
"NY","AK","m","35","0"
"NY","AK","m","36","0"
"NY","AK","m","37","0"
"NY","AK","m","38","0"
"NY","AK","m","39","0"
"NY","AK","m","40","0"
"NY","AK","m","41","0"
"NY","AK","m","42","0"
"NY","AK","m","43","0"
"NY","AK","m","44","0"
"NY","AK","m","45","0.000013"
"NY","AK","m","46","0.000013"
"NY","AK","m","47","0.000013"
"NY","AK","m","48","0.000013"
"NY","AK","m","49","0.000013"
"NY","AK","m","50","0"
"NY","AK","m","51","0"
"NY","AK","m","52","0"
"NY","AK","m","53","0"
"NY","AK","m","54","0"
"NY","AK","m","55","0"
"NY","AK","m","56","0"
"NY","AK","m","57","0"
"NY","AK","m","58","0"
"NY","AK","m","59","0"
"NY","AK","m","60","0"
"NY","AK","m","61","0"
"NY","AK","m","62","0"
"NY","AK","m","63","0"
"NY","AK","m","64","0"
"NY","AK","m","65","0"
"NY","AK","m","66","0"
"NY","AK","m","67","0"
"NY","AK","m","68","0"
"NY","AK","m","69","0"
"NY","AK","m","70","0"
"NY","AK","m","71","0"
"NY","AK","m","72","0"
"NY","AK","m","73","0"
"NY","AK","m","74","0"
"NY","AK","m","75","0"
"NY","AK","m","76","0"
"NY","AK","m","77","0"
"NY","AK","m","78","0"
"NY","AK","m","79","0"
"NY","AK","m","80","0"
"NY","AK","m","81","0"
"NY","AK","m","82","0"
"NY","AK","m","83","0"
"NY","AK","m","84","0"
"NY","AK","m","85","0"
"NY","AK","m","86","0"
"NY","AK","m","87","0"
"NY","AK","m","88","0"
"NY","AK","m","89","0"
"NY","AK","m","90","0"
"NY","AK","m","91","0"
"NY","AK","m","92","0"
"NY","AK","m","93","0"
"NY","AK","m","94","0"
"NY","AK","m","95","0"
"NY","AK","m","96","0"
"NY","AK","m","97","0"
"NY","AK","m","98","0"
"NY","AK","m","99","0"
"NY","AK","m","100","0"
"NY","AK","f","0","0.0000458"
"NY","AK","f","1","0.0000458"
"NY","AK","f","2","0.0000458"
"NY","AK","f","3","0.0000458"
"NY","AK","f","4","0.0000458"
"NY","AK","f","5","0"
"NY","AK","f","6","0"
"NY","AK","f","7","0"
"NY","AK","f","8","0"
"NY","AK","f","9","0"
"NY","AK","f","10","0"
"NY","AK","f","11","0"
"NY","AK","f","12","0"
"NY","AK","f","13","0"
"NY","AK","f","14","0"
"NY","AK","f","15","0.00000409"
"NY","AK","f","16","0.00000409"
"NY","AK","f","17","0.00000409"
"NY","AK","f","18","0.00000409"
"NY","AK","f","19","0.00000409"
"NY","AK","f","20","0.0000921045"
"NY","AK","f","21","0.0000921045"
"NY","AK","f","22","0.0000921045"
"NY","AK","f","23","0.0000921045"
"NY","AK","f","24","0.0000921045"
"NY","AK","f","25","0.0000976738"
"NY","AK","f","26","0.0000976738"
"NY","AK","f","27","0.0000976738"
"NY","AK","f","28","0.0000976738"
"NY","AK","f","29","0.0000976738"
"NY","AK","f","30","0.0000269"
"NY","AK","f","31","0.0000269"
"NY","AK","f","32","0.0000269"
"NY","AK","f","33","0.0000269"
"NY","AK","f","34","0.0000269"
"NY","AK","f","35","0"
"NY","AK","f","36","0"
"NY","AK","f","37","0"
"NY","AK","f","38","0"
"NY","AK","f","39","0"
"NY","AK","f","40","0.0000249"
"NY","AK","f","41","0.0000249"
"NY","AK","f","42","0.0000249"
"NY","AK","f","43","0.0000249"
"NY","AK","f","44","0.0000249"
"NY","AK","f","45","0"
"NY","AK","f","46","0"
"NY","AK","f","47","0"
"NY","AK","f","48","0"
"NY","AK","f","49","0"
"NY","AK","f","50","0.0000222"
"NY","AK","f","51","0.0000222"
"NY","AK","f","52","0.0000222"
"NY","AK","f","53","0.0000222"
"NY","AK","f","54","0.0000222"
"NY","AK","f","55","0.00000762"
"NY","AK","f","56","0.00000762"
"NY","AK","f","57","0.00000762"
"NY","AK","f","58","0.00000762"
"NY","AK","f","59","0.00000762"
"NY","AK","f","60","0.00000649"
"NY","AK","f","61","0.00000649"
"NY","AK","f","62","0.00000649"
"NY","AK","f","63","0.00000649"
"NY","AK","f","64","0.00000649"
"NY","AK","f","65","0"
"NY","AK","f","66","0"
"NY","AK","f","67","0"
"NY","AK","f","68","0"
"NY","AK","f","69","0"
"NY","AK","f","70","0"
"NY","AK","f","71","0"
"NY","AK","f","72","0"
"NY","AK","f","73","0"
"NY","AK","f","74","0"
"NY","AK","f","75","0"
"NY","AK","f","76","0"
"NY","AK","f","77","0"
"NY","AK","f","78","0"
"NY","AK","f","79","0"
"NY","AK","f","80","0.0000141"
"NY","AK","f","81","0.0000141"
"NY","AK","f","82","0.0000141"
"NY","AK","f","83","0.0000141"
"NY","AK","f","84","0.0000141"
"NY","AK","f","85","0"
"NY","AK","f","86","0"
"NY","AK","f","87","0"
"NY","AK","f","88","0"
"NY","AK","f","89","0"
"NY","AK","f","90","0"
"NY","AK","f","91","0"
"NY","AK","f","92","0"
