region,region_code,age,rural,urban,all
AZ,840-04,0,,0,0
AZ,840-04,1,,0,0
AZ,840-04,2,,0,0
AZ,840-04,3,,0,0
AZ,840-04,4,,0,0
AZ,840-04,5,,0,0
AZ,840-04,6,,0,0
AZ,840-04,7,,0,0
AZ,840-04,8,,0,0
AZ,840-04,9,,0,0
AZ,840-04,10,,0,0
AZ,840-04,11,,0,0
AZ,840-04,12,,0,0
AZ,840-04,13,,0,0
AZ,840-04,14,,0,0
AZ,840-04,15,,0.009551165,0.009551165
AZ,840-04,16,,0.021428262,0.021428262
AZ,840-04,17,,0.031374526,0.031374526
AZ,840-04,18,,0.058462013,0.058462013
AZ,840-04,19,,0.076005292,0.076005292
AZ,840-04,20,,0.093543544,0.093543544
AZ,840-04,21,,0.107732981,0.107732981
AZ,840-04,22,,0.104303898,0.104303898
AZ,840-04,23,,0.111566018,0.111566018
AZ,840-04,24,,0.113580063,0.113580063
AZ,840-04,25,,0.127159386,0.127159386
AZ,840-04,26,,0.121588089,0.121588089
AZ,840-04,27,,0.145814928,0.145814928
AZ,840-04,28,,0.126730419,0.126730419
AZ,840-04,29,,0.126292005,0.126292005
AZ,840-04,30,,0.100559063,0.100559063
AZ,840-04,31,,0.105779219,0.105779219
AZ,840-04,32,,0.108809464,0.108809464
AZ,840-04,33,,0.09282611,0.09282611
AZ,840-04,34,,0.083346203,0.083346203
AZ,840-04,35,,0.068225766,0.068225766
AZ,840-04,36,,0.066301085,0.066301085
AZ,840-04,37,,0.051830635,0.051830635
AZ,840-04,38,,0.048491225,0.048491225
AZ,840-04,39,,0.03423202,0.03423202
AZ,840-04,40,,0.025717649,0.025717649
AZ,840-04,41,,0.023150612,0.023150612
AZ,840-04,42,,0.005553627,0.005553627
AZ,840-04,43,,0.009579937,0.009579937
AZ,840-04,44,,0.007351139,0.007351139
AZ,840-04,45,,0.005653645,0.005653645
AZ,840-04,46,,0.00403216,0.00403216
AZ,840-04,47,,0.005555556,0.005555556
AZ,840-04,48,,0.00538308,0.00538308
AZ,840-04,49,,0.00696278,0.00696278
AZ,840-04,50,,0.007247498,0.007247498
AZ,840-04,51,,0,0
AZ,840-04,52,,0,0
AZ,840-04,53,,0,0
AZ,840-04,54,,0,0
AZ,840-04,55,,0,0
AZ,840-04,56,,0,0
AZ,840-04,57,,0,0
AZ,840-04,58,,0,0
AZ,840-04,59,,0,0
AZ,840-04,60,,0,0
AZ,840-04,61,,0,0
AZ,840-04,62,,0,0
AZ,840-04,63,,0,0
AZ,840-04,64,,0,0
AZ,840-04,65,,0,0
AZ,840-04,66,,0,0
AZ,840-04,67,,0,0
AZ,840-04,68,,0,0
AZ,840-04,69,,0,0
AZ,840-04,70,,0,0
AZ,840-04,71,,0,0
AZ,840-04,72,,0,0
AZ,840-04,73,,0,0
AZ,840-04,74,,0,0
AZ,840-04,75,,0,0
AZ,840-04,76,,0,0
AZ,840-04,77,,0,0
AZ,840-04,78,,0,0
AZ,840-04,79,,0,0
AZ,840-04,80,,0,0
AZ,840-04,81,,0,0
AZ,840-04,82,,0,0
AZ,840-04,83,,0,0
AZ,840-04,84,,0,0
AZ,840-04,85,,0,0
AZ,840-04,86,,0,0
AZ,840-04,87,,0,0
AZ,840-04,88,,0,0
AZ,840-04,89,,0,0
AZ,840-04,90,,0,0
AZ,840-04,91,,0,0
AZ,840-04,92,,0,0
AZ,840-04,93,,0,0
AZ,840-04,94,,0,0
AZ,840-04,95,,0,0
AZ,840-04,96,,0,0
AZ,840-04,97,,0,0
AZ,840-04,98,,0,0
AZ,840-04,99,,0,0
AZ,840-04,100,,0,0
