year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2015,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2020,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2025,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2030,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2035,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2040,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2045,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2050,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2055,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2060,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2065,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2070,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2075,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2080,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2085,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2090,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2095,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
2100,1.83,1.83,1.83,75.7,80.7,75.7,80.7,75.7,80.7,0.787,105,105,105,18279.7292,17016.73572
