region,region_code,age,net_male,net_female,net_all
RI,840-44,0,0.001652836,0.008420374,NA
RI,840-44,1,0.001652836,0.008420374,NA
RI,840-44,2,0.001652836,0.008420374,NA
RI,840-44,3,0.001652836,0.008420374,NA
RI,840-44,4,0.001652836,0.008420374,NA
RI,840-44,5,-0.003991637,-0.008021984,NA
RI,840-44,6,-0.003991637,-0.008021984,NA
RI,840-44,7,-0.003991637,-0.008021984,NA
RI,840-44,8,-0.003991637,-0.008021984,NA
RI,840-44,9,-0.003991637,-0.008021984,NA
RI,840-44,10,-0.008335675,-0.011198083,NA
RI,840-44,11,-0.008335675,-0.011198083,NA
RI,840-44,12,-0.008335675,-0.011198083,NA
RI,840-44,13,-0.008335675,-0.011198083,NA
RI,840-44,14,-0.008335675,-0.011198083,NA
RI,840-44,15,0.040089793,0.049007596,NA
RI,840-44,16,0.040089793,0.049007596,NA
RI,840-44,17,0.040089793,0.049007596,NA
RI,840-44,18,0.040089793,0.049007596,NA
RI,840-44,19,0.040089793,0.049007596,NA
RI,840-44,20,-0.012617331,0.005316321,NA
RI,840-44,21,-0.012617331,0.005316321,NA
RI,840-44,22,-0.012617331,0.005316321,NA
RI,840-44,23,-0.012617331,0.005316321,NA
RI,840-44,24,-0.012617331,0.005316321,NA
RI,840-44,25,-0.004685379,-0.00875403,NA
RI,840-44,26,-0.004685379,-0.00875403,NA
RI,840-44,27,-0.004685379,-0.00875403,NA
RI,840-44,28,-0.004685379,-0.00875403,NA
RI,840-44,29,-0.004685379,-0.00875403,NA
RI,840-44,30,-0.01554878,-0.008912432,NA
RI,840-44,31,-0.01554878,-0.008912432,NA
RI,840-44,32,-0.01554878,-0.008912432,NA
RI,840-44,33,-0.01554878,-0.008912432,NA
RI,840-44,34,-0.01554878,-0.008912432,NA
RI,840-44,35,-0.009817738,-0.009613353,NA
RI,840-44,36,-0.009817738,-0.009613353,NA
RI,840-44,37,-0.009817738,-0.009613353,NA
RI,840-44,38,-0.009817738,-0.009613353,NA
RI,840-44,39,-0.009817738,-0.009613353,NA
RI,840-44,40,-0.004238489,-0.006136877,NA
RI,840-44,41,-0.004238489,-0.006136877,NA
RI,840-44,42,-0.004238489,-0.006136877,NA
RI,840-44,43,-0.004238489,-0.006136877,NA
RI,840-44,44,-0.004238489,-0.006136877,NA
RI,840-44,45,-0.010301058,-0.003844198,NA
RI,840-44,46,-0.010301058,-0.003844198,NA
RI,840-44,47,-0.010301058,-0.003844198,NA
RI,840-44,48,-0.010301058,-0.003844198,NA
RI,840-44,49,-0.010301058,-0.003844198,NA
RI,840-44,50,-0.00036565,-0.005383613,NA
RI,840-44,51,-0.00036565,-0.005383613,NA
RI,840-44,52,-0.00036565,-0.005383613,NA
RI,840-44,53,-0.00036565,-0.005383613,NA
RI,840-44,54,-0.00036565,-0.005383613,NA
RI,840-44,55,-0.003925927,-0.005218777,NA
RI,840-44,56,-0.003925927,-0.005218777,NA
RI,840-44,57,-0.003925927,-0.005218777,NA
RI,840-44,58,-0.003925927,-0.005218777,NA
RI,840-44,59,-0.003925927,-0.005218777,NA
RI,840-44,60,-0.013070644,-0.003283559,NA
RI,840-44,61,-0.013070644,-0.003283559,NA
RI,840-44,62,-0.013070644,-0.003283559,NA
RI,840-44,63,-0.013070644,-0.003283559,NA
RI,840-44,64,-0.013070644,-0.003283559,NA
RI,840-44,65,0.003716224,0.001083792,NA
RI,840-44,66,0.003716224,0.001083792,NA
RI,840-44,67,0.003716224,0.001083792,NA
RI,840-44,68,0.003716224,0.001083792,NA
RI,840-44,69,0.003716224,0.001083792,NA
RI,840-44,70,-0.009034237,-0.004343369,NA
RI,840-44,71,-0.009034237,-0.004343369,NA
RI,840-44,72,-0.009034237,-0.004343369,NA
RI,840-44,73,-0.009034237,-0.004343369,NA
RI,840-44,74,-0.009034237,-0.004343369,NA
RI,840-44,75,0.00551455,0.002216382,NA
RI,840-44,76,0.00551455,0.002216382,NA
RI,840-44,77,0.00551455,0.002216382,NA
RI,840-44,78,0.00551455,0.002216382,NA
RI,840-44,79,0.00551455,0.002216382,NA
RI,840-44,80,0.000365631,0.003916811,NA
RI,840-44,81,0.000365631,0.003916811,NA
RI,840-44,82,0.000365631,0.003916811,NA
RI,840-44,83,0.000365631,0.003916811,NA
RI,840-44,84,0.000365631,0.003916811,NA
RI,840-44,85,0.003881115,0.003820961,NA
RI,840-44,86,0.003881115,0.003820961,NA
RI,840-44,87,0.003881115,0.003820961,NA
RI,840-44,88,0.003881115,0.003820961,NA
RI,840-44,89,0.003881115,0.003820961,NA
RI,840-44,90,0.013424346,-0.000432414,NA
RI,840-44,91,0.013424346,-0.000432414,NA
RI,840-44,92,0.013424346,-0.000432414,NA
RI,840-44,93,0.013424346,-0.000432414,NA
RI,840-44,94,0.013424346,-0.000432414,NA
RI,840-44,95,0.014380531,-0.016915814,NA
RI,840-44,96,0.014380531,-0.016915814,NA
RI,840-44,97,0.014380531,-0.016915814,NA
RI,840-44,98,0.014380531,-0.016915814,NA
RI,840-44,99,0.014380531,-0.016915814,NA
RI,840-44,100,0.014380531,-0.016915814,NA
