"from","to","gender","age","rate"
"AK","SC","m","0","0.002372557"
"AK","SC","m","1","0.002372557"
"AK","SC","m","2","0.002372557"
"AK","SC","m","3","0.002372557"
"AK","SC","m","4","0.002372557"
"AK","SC","m","5","0.000391413"
"AK","SC","m","6","0.000391413"
"AK","SC","m","7","0.000391413"
"AK","SC","m","8","0.000391413"
"AK","SC","m","9","0.000391413"
"AK","SC","m","10","0.000190361"
"AK","SC","m","11","0.000190361"
"AK","SC","m","12","0.000190361"
"AK","SC","m","13","0.000190361"
"AK","SC","m","14","0.000190361"
"AK","SC","m","15","0.000302845"
"AK","SC","m","16","0.000302845"
"AK","SC","m","17","0.000302845"
"AK","SC","m","18","0.000302845"
"AK","SC","m","19","0.000302845"
"AK","SC","m","20","0.000906531"
"AK","SC","m","21","0.000906531"
"AK","SC","m","22","0.000906531"
"AK","SC","m","23","0.000906531"
"AK","SC","m","24","0.000906531"
"AK","SC","m","25","0.001463856"
"AK","SC","m","26","0.001463856"
"AK","SC","m","27","0.001463856"
"AK","SC","m","28","0.001463856"
"AK","SC","m","29","0.001463856"
"AK","SC","m","30","0.001052014"
"AK","SC","m","31","0.001052014"
"AK","SC","m","32","0.001052014"
"AK","SC","m","33","0.001052014"
"AK","SC","m","34","0.001052014"
"AK","SC","m","35","0.000723103"
"AK","SC","m","36","0.000723103"
"AK","SC","m","37","0.000723103"
"AK","SC","m","38","0.000723103"
"AK","SC","m","39","0.000723103"
"AK","SC","m","40","0.000801722"
"AK","SC","m","41","0.000801722"
"AK","SC","m","42","0.000801722"
"AK","SC","m","43","0.000801722"
"AK","SC","m","44","0.000801722"
"AK","SC","m","45","0.001176952"
"AK","SC","m","46","0.001176952"
"AK","SC","m","47","0.001176952"
"AK","SC","m","48","0.001176952"
"AK","SC","m","49","0.001176952"
"AK","SC","m","50","0.000752605"
"AK","SC","m","51","0.000752605"
"AK","SC","m","52","0.000752605"
"AK","SC","m","53","0.000752605"
"AK","SC","m","54","0.000752605"
"AK","SC","m","55","0"
"AK","SC","m","56","0"
"AK","SC","m","57","0"
"AK","SC","m","58","0"
"AK","SC","m","59","0"
"AK","SC","m","60","0.000473521"
"AK","SC","m","61","0.000473521"
"AK","SC","m","62","0.000473521"
"AK","SC","m","63","0.000473521"
"AK","SC","m","64","0.000473521"
"AK","SC","m","65","0"
"AK","SC","m","66","0"
"AK","SC","m","67","0"
"AK","SC","m","68","0"
"AK","SC","m","69","0"
"AK","SC","m","70","0"
"AK","SC","m","71","0"
"AK","SC","m","72","0"
"AK","SC","m","73","0"
"AK","SC","m","74","0"
"AK","SC","m","75","0"
"AK","SC","m","76","0"
"AK","SC","m","77","0"
"AK","SC","m","78","0"
"AK","SC","m","79","0"
"AK","SC","m","80","0"
"AK","SC","m","81","0"
"AK","SC","m","82","0"
"AK","SC","m","83","0"
"AK","SC","m","84","0"
"AK","SC","m","85","0"
"AK","SC","m","86","0"
"AK","SC","m","87","0"
"AK","SC","m","88","0"
"AK","SC","m","89","0"
"AK","SC","m","90","0"
"AK","SC","m","91","0"
"AK","SC","m","92","0"
"AK","SC","m","93","0"
"AK","SC","m","94","0"
