region,region_code,age,rural,urban,all
SD,840-46,0,,0,0
SD,840-46,1,,0,0
SD,840-46,2,,0,0
SD,840-46,3,,0,0
SD,840-46,4,,0,0
SD,840-46,5,,0,0
SD,840-46,6,,0,0
SD,840-46,7,,0,0
SD,840-46,8,,0,0
SD,840-46,9,,0,0
SD,840-46,10,,0,0
SD,840-46,11,,0,0
SD,840-46,12,,0,0
SD,840-46,13,,0,0
SD,840-46,14,,0,0
SD,840-46,15,,0,0
SD,840-46,16,,0.002009377,0.002009377
SD,840-46,17,,0.008735868,0.008735868
SD,840-46,18,,0.045835563,0.045835563
SD,840-46,19,,0.044363516,0.044363516
SD,840-46,20,,0.075877193,0.075877193
SD,840-46,21,,0.095460038,0.095460038
SD,840-46,22,,0.104065041,0.104065041
SD,840-46,23,,0.156602073,0.156602073
SD,840-46,24,,0.171995213,0.171995213
SD,840-46,25,,0.144619311,0.144619311
SD,840-46,26,,0.166755746,0.166755746
SD,840-46,27,,0.213321531,0.213321531
SD,840-46,28,,0.158642911,0.158642911
SD,840-46,29,,0.12839963,0.12839963
SD,840-46,30,,0.143552827,0.143552827
SD,840-46,31,,0.134486736,0.134486736
SD,840-46,32,,0.145992553,0.145992553
SD,840-46,33,,0.066650025,0.066650025
SD,840-46,34,,0.071774549,0.071774549
SD,840-46,35,,0.091271703,0.091271703
SD,840-46,36,,0.032001869,0.032001869
SD,840-46,37,,0.047577093,0.047577093
SD,840-46,38,,0.019397858,0.019397858
SD,840-46,39,,0.016966269,0.016966269
SD,840-46,40,,0.023962345,0.023962345
SD,840-46,41,,0.057721301,0.057721301
SD,840-46,42,,0.015144766,0.015144766
SD,840-46,43,,0.038284296,0.038284296
SD,840-46,44,,0.002587322,0.002587322
SD,840-46,45,,0.015984655,0.015984655
SD,840-46,46,,0.007694881,0.007694881
SD,840-46,47,,0.009510223,0.009510223
SD,840-46,48,,0,0
SD,840-46,49,,0.00371402,0.00371402
SD,840-46,50,,0.002477931,0.002477931
SD,840-46,51,,0,0
SD,840-46,52,,0,0
SD,840-46,53,,0,0
SD,840-46,54,,0,0
SD,840-46,55,,0,0
SD,840-46,56,,0,0
SD,840-46,57,,0,0
SD,840-46,58,,0,0
SD,840-46,59,,0,0
SD,840-46,60,,0,0
SD,840-46,61,,0,0
SD,840-46,62,,0,0
SD,840-46,63,,0,0
SD,840-46,64,,0,0
SD,840-46,65,,0,0
SD,840-46,66,,0,0
SD,840-46,67,,0,0
SD,840-46,68,,0,0
SD,840-46,69,,0,0
SD,840-46,70,,0,0
SD,840-46,71,,0,0
SD,840-46,72,,0,0
SD,840-46,73,,0,0
SD,840-46,74,,0,0
SD,840-46,75,,0,0
SD,840-46,76,,0,0
SD,840-46,77,,0,0
SD,840-46,78,,0,0
SD,840-46,79,,0,0
SD,840-46,80,,0,0
SD,840-46,81,,0,0
SD,840-46,82,,0,0
SD,840-46,83,,0,0
SD,840-46,84,,0,0
SD,840-46,85,,0,0
SD,840-46,86,,0,0
SD,840-46,87,,0,0
SD,840-46,88,,0,0
SD,840-46,89,,0,0
SD,840-46,90,,0,0
SD,840-46,91,,0,0
SD,840-46,92,,0,0
SD,840-46,93,,0,0
SD,840-46,94,,0,0
SD,840-46,95,,0,0
SD,840-46,96,,0,0
SD,840-46,97,,0,0
SD,840-46,98,,0,0
SD,840-46,99,,0,0
SD,840-46,100,,0,0
