"from","to","gender","age","mrate"
"VT","AL","m","0","0.000634793"
"VT","AL","m","1","0.000634793"
"VT","AL","m","2","0.000634793"
"VT","AL","m","3","0.000634793"
"VT","AL","m","4","0.000634793"
"VT","AL","m","5","0.000423195"
"VT","AL","m","6","0.000423195"
"VT","AL","m","7","0.000423195"
"VT","AL","m","8","0.000423195"
"VT","AL","m","9","0.000423195"
"VT","AL","m","10","0"
"VT","AL","m","11","0"
"VT","AL","m","12","0"
"VT","AL","m","13","0"
"VT","AL","m","14","0"
"VT","AL","m","15","0"
"VT","AL","m","16","0"
"VT","AL","m","17","0"
"VT","AL","m","18","0"
"VT","AL","m","19","0"
"VT","AL","m","20","0.000310209"
"VT","AL","m","21","0.000310209"
"VT","AL","m","22","0.000310209"
"VT","AL","m","23","0.000310209"
"VT","AL","m","24","0.000310209"
"VT","AL","m","25","0.000561184"
"VT","AL","m","26","0.000561184"
"VT","AL","m","27","0.000561184"
"VT","AL","m","28","0.000561184"
"VT","AL","m","29","0.000561184"
"VT","AL","m","30","0.000561184"
"VT","AL","m","31","0.000561184"
"VT","AL","m","32","0.000561184"
"VT","AL","m","33","0.000561184"
"VT","AL","m","34","0.000561184"
"VT","AL","m","35","0.000250975"
"VT","AL","m","36","0.000250975"
"VT","AL","m","37","0.000250975"
"VT","AL","m","38","0.000250975"
"VT","AL","m","39","0.000250975"
"VT","AL","m","40","0.000271852"
"VT","AL","m","41","0.000271852"
"VT","AL","m","42","0.000271852"
"VT","AL","m","43","0.000271852"
"VT","AL","m","44","0.000271852"
"VT","AL","m","45","0.000271852"
"VT","AL","m","46","0.000271852"
"VT","AL","m","47","0.000271852"
"VT","AL","m","48","0.000271852"
"VT","AL","m","49","0.000271852"
"VT","AL","m","50","0.000271852"
"VT","AL","m","51","0.000271852"
"VT","AL","m","52","0.000271852"
"VT","AL","m","53","0.000271852"
"VT","AL","m","54","0.000271852"
"VT","AL","m","55","0"
"VT","AL","m","56","0"
"VT","AL","m","57","0"
"VT","AL","m","58","0"
