year,f_A,f_R,f_U,m_AM,m_AF,m_RM,m_RF,m_UM,m_UF,pu,sr_A,sr_R,sr_U,nim_M,nim_F
NA,fertility,NA,NA,mortality,NA,NA,NA,NA,NA,%urban,sex ratio at birth,NA,NA,net international migrants,NA
NA,all,rural,urban,all,NA,rural,NA,urban,NA,NA,all,rural,urban,NA,NA
NA,NA,NA,NA,male,female,male,female,male,female,NA,NA,NA,NA,male,female
2010,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2015,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2020,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2025,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2030,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2035,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2040,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2045,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2050,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2055,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2060,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2065,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2070,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2075,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2080,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2085,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2090,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2095,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
2100,1.68,1.68,1.68,72.6,78.1,72.6,78.1,72.6,78.1,0.487,105,105,105,1048.096322,975.6806526
