region,region_code,age,net_male,net_female,net_all
CA,840-06,0,-0.00402145,-0.00321132,NA
CA,840-06,1,-0.00402145,-0.00321132,NA
CA,840-06,2,-0.00402145,-0.00321132,NA
CA,840-06,3,-0.00402145,-0.00321132,NA
CA,840-06,4,-0.00402145,-0.00321132,NA
CA,840-06,5,-0.003792146,-0.003882966,NA
CA,840-06,6,-0.003792146,-0.003882966,NA
CA,840-06,7,-0.003792146,-0.003882966,NA
CA,840-06,8,-0.003792146,-0.003882966,NA
CA,840-06,9,-0.003792146,-0.003882966,NA
CA,840-06,10,-0.003512132,-0.003619183,NA
CA,840-06,11,-0.003512132,-0.003619183,NA
CA,840-06,12,-0.003512132,-0.003619183,NA
CA,840-06,13,-0.003512132,-0.003619183,NA
CA,840-06,14,-0.003512132,-0.003619183,NA
CA,840-06,15,-0.006720219,-0.009328902,NA
CA,840-06,16,-0.006720219,-0.009328902,NA
CA,840-06,17,-0.006720219,-0.009328902,NA
CA,840-06,18,-0.006720219,-0.009328902,NA
CA,840-06,19,-0.006720219,-0.009328902,NA
CA,840-06,20,-0.002655102,-0.000950792,NA
CA,840-06,21,-0.002655102,-0.000950792,NA
CA,840-06,22,-0.002655102,-0.000950792,NA
CA,840-06,23,-0.002655102,-0.000950792,NA
CA,840-06,24,-0.002655102,-0.000950792,NA
CA,840-06,25,-0.001039739,-0.000616624,NA
CA,840-06,26,-0.001039739,-0.000616624,NA
CA,840-06,27,-0.001039739,-0.000616624,NA
CA,840-06,28,-0.001039739,-0.000616624,NA
CA,840-06,29,-0.001039739,-0.000616624,NA
CA,840-06,30,-0.002587656,-0.004592724,NA
CA,840-06,31,-0.002587656,-0.004592724,NA
CA,840-06,32,-0.002587656,-0.004592724,NA
CA,840-06,33,-0.002587656,-0.004592724,NA
CA,840-06,34,-0.002587656,-0.004592724,NA
CA,840-06,35,-0.003906149,-0.004143516,NA
CA,840-06,36,-0.003906149,-0.004143516,NA
CA,840-06,37,-0.003906149,-0.004143516,NA
CA,840-06,38,-0.003906149,-0.004143516,NA
CA,840-06,39,-0.003906149,-0.004143516,NA
CA,840-06,40,-0.00360081,-0.003236484,NA
CA,840-06,41,-0.00360081,-0.003236484,NA
CA,840-06,42,-0.00360081,-0.003236484,NA
CA,840-06,43,-0.00360081,-0.003236484,NA
CA,840-06,44,-0.00360081,-0.003236484,NA
CA,840-06,45,-0.003327552,-0.002303518,NA
CA,840-06,46,-0.003327552,-0.002303518,NA
CA,840-06,47,-0.003327552,-0.002303518,NA
CA,840-06,48,-0.003327552,-0.002303518,NA
CA,840-06,49,-0.003327552,-0.002303518,NA
CA,840-06,50,-0.002879956,-0.004020533,NA
CA,840-06,51,-0.002879956,-0.004020533,NA
CA,840-06,52,-0.002879956,-0.004020533,NA
CA,840-06,53,-0.002879956,-0.004020533,NA
CA,840-06,54,-0.002879956,-0.004020533,NA
CA,840-06,55,-0.004339715,-0.003522956,NA
CA,840-06,56,-0.004339715,-0.003522956,NA
CA,840-06,57,-0.004339715,-0.003522956,NA
CA,840-06,58,-0.004339715,-0.003522956,NA
CA,840-06,59,-0.004339715,-0.003522956,NA
CA,840-06,60,-0.003577009,-0.002610233,NA
CA,840-06,61,-0.003577009,-0.002610233,NA
CA,840-06,62,-0.003577009,-0.002610233,NA
CA,840-06,63,-0.003577009,-0.002610233,NA
CA,840-06,64,-0.003577009,-0.002610233,NA
CA,840-06,65,-0.004067023,-0.002506357,NA
CA,840-06,66,-0.004067023,-0.002506357,NA
CA,840-06,67,-0.004067023,-0.002506357,NA
CA,840-06,68,-0.004067023,-0.002506357,NA
CA,840-06,69,-0.004067023,-0.002506357,NA
CA,840-06,70,-5.76493E-05,-0.000827663,NA
CA,840-06,71,-5.76493E-05,-0.000827663,NA
CA,840-06,72,-5.76493E-05,-0.000827663,NA
CA,840-06,73,-5.76493E-05,-0.000827663,NA
CA,840-06,74,-5.76493E-05,-0.000827663,NA
CA,840-06,75,-0.000757208,0.001025007,NA
CA,840-06,76,-0.000757208,0.001025007,NA
CA,840-06,77,-0.000757208,0.001025007,NA
CA,840-06,78,-0.000757208,0.001025007,NA
CA,840-06,79,-0.000757208,0.001025007,NA
CA,840-06,80,-0.000514426,-0.000274228,NA
CA,840-06,81,-0.000514426,-0.000274228,NA
CA,840-06,82,-0.000514426,-0.000274228,NA
CA,840-06,83,-0.000514426,-0.000274228,NA
CA,840-06,84,-0.000514426,-0.000274228,NA
CA,840-06,85,0.001650636,0.000110113,NA
CA,840-06,86,0.001650636,0.000110113,NA
CA,840-06,87,0.001650636,0.000110113,NA
CA,840-06,88,0.001650636,0.000110113,NA
CA,840-06,89,0.001650636,0.000110113,NA
CA,840-06,90,0.000371909,-0.002062916,NA
CA,840-06,91,0.000371909,-0.002062916,NA
CA,840-06,92,0.000371909,-0.002062916,NA
CA,840-06,93,0.000371909,-0.002062916,NA
CA,840-06,94,0.000371909,-0.002062916,NA
CA,840-06,95,0,0,NA
CA,840-06,96,0,0,NA
CA,840-06,97,0,0,NA
CA,840-06,98,0,0,NA
CA,840-06,99,0,0,NA
CA,840-06,100,0,0,NA
