"from","to","gender","age","mrate"
"CO","AL","m","0","0.000145429"
"CO","AL","m","1","0.000145429"
"CO","AL","m","2","0.000145429"
"CO","AL","m","3","0.000145429"
"CO","AL","m","4","0.000145429"
"CO","AL","m","5","0.000105664"
"CO","AL","m","6","0.000105664"
"CO","AL","m","7","0.000105664"
"CO","AL","m","8","0.000105664"
"CO","AL","m","9","0.000105664"
"CO","AL","m","10","0.000230648"
"CO","AL","m","11","0.000230648"
"CO","AL","m","12","0.000230648"
"CO","AL","m","13","0.000230648"
"CO","AL","m","14","0.000230648"
"CO","AL","m","15","0.000351567"
"CO","AL","m","16","0.000351567"
"CO","AL","m","17","0.000351567"
"CO","AL","m","18","0.000351567"
"CO","AL","m","19","0.000351567"
"CO","AL","m","20","0.000545523"
"CO","AL","m","21","0.000545523"
"CO","AL","m","22","0.000545523"
"CO","AL","m","23","0.000545523"
"CO","AL","m","24","0.000545523"
"CO","AL","m","25","0.000507017"
"CO","AL","m","26","0.000507017"
"CO","AL","m","27","0.000507017"
"CO","AL","m","28","0.000507017"
"CO","AL","m","29","0.000507017"
"CO","AL","m","30","0.000377709"
"CO","AL","m","31","0.000377709"
"CO","AL","m","32","0.000377709"
"CO","AL","m","33","0.000377709"
"CO","AL","m","34","0.000377709"
"CO","AL","m","35","0.000236219"
"CO","AL","m","36","0.000236219"
"CO","AL","m","37","0.000236219"
"CO","AL","m","38","0.000236219"
"CO","AL","m","39","0.000236219"
"CO","AL","m","40","0.000146386"
"CO","AL","m","41","0.000146386"
"CO","AL","m","42","0.000146386"
"CO","AL","m","43","0.000146386"
"CO","AL","m","44","0.000146386"
"CO","AL","m","45","0.000110221"
"CO","AL","m","46","0.000110221"
"CO","AL","m","47","0.000110221"
"CO","AL","m","48","0.000110221"
"CO","AL","m","49","0.000110221"
"CO","AL","m","50","0.000142964"
"CO","AL","m","51","0.000142964"
"CO","AL","m","52","0.000142964"
"CO","AL","m","53","0.000142964"
"CO","AL","m","54","0.000142964"
"CO","AL","m","55","0.000227901"
"CO","AL","m","56","0.000227901"
"CO","AL","m","57","0.000227901"
"CO","AL","m","58","0.000227901"
"CO","AL","m","59","0.000227901"
"CO","AL","m","60","0.000221457"
"CO","AL","m","61","0.000221457"
"CO","AL","m","62","0.000221457"
"CO","AL","m","63","0.000221457"
"CO","AL","m","64","0.000221457"
"CO","AL","m","65","0.000156415"
"CO","AL","m","66","0.000156415"
"CO","AL","m","67","0.000156415"
"CO","AL","m","68","0.000156415"
"CO","AL","m","69","0.000156415"
"CO","AL","m","70","8.77513e-05"
"CO","AL","m","71","8.77513e-05"
"CO","AL","m","72","8.77513e-05"
"CO","AL","m","73","8.77513e-05"
"CO","AL","m","74","8.77513e-05"
"CO","AL","m","75","8.77513e-05"
"CO","AL","m","76","8.77513e-05"
"CO","AL","m","77","8.77513e-05"
"CO","AL","m","78","8.77513e-05"
"CO","AL","m","79","8.77513e-05"
"CO","AL","m","80","5.88733e-05"
"CO","AL","m","81","5.88733e-05"
"CO","AL","m","82","5.88733e-05"
"CO","AL","m","83","5.88733e-05"
"CO","AL","m","84","5.88733e-05"
"CO","AL","m","85","0"
"CO","AL","m","86","0"
"CO","AL","m","87","0"
"CO","AL","m","88","0"
"CO","AL","m","89","0"
"CO","AL","m","90","0"
"CO","AL","m","91","0"
"CO","AL","m","92","0"
"CO","AL","m","93","0"
"CO","AL","m","94","0"
"CO","AL","m","95","0"
"CO","AL","m","96","0"
"CO","AL","m","97","0"
"CO","AL","m","98","0"
"CO","AL","m","99","0"
"CO","AL","m","100","0"
"CO","AL","f","0","0.000209868"
"CO","AL","f","1","0.000209868"
"CO","AL","f","2","0.000209868"
"CO","AL","f","3","0.000209868"
"CO","AL","f","4","0.000209868"
"CO","AL","f","5","0.000252632"
"CO","AL","f","6","0.000252632"
"CO","AL","f","7","0.000252632"
"CO","AL","f","8","0.000252632"
"CO","AL","f","9","0.000252632"
"CO","AL","f","10","0.000318796"
"CO","AL","f","11","0.000318796"
"CO","AL","f","12","0.000318796"
"CO","AL","f","13","0.000318796"
"CO","AL","f","14","0.000318796"
"CO","AL","f","15","0.000378146"
"CO","AL","f","16","0.000378146"
"CO","AL","f","17","0.000378146"
"CO","AL","f","18","0.000378146"
"CO","AL","f","19","0.000378146"
"CO","AL","f","20","0.000341665"
"CO","AL","f","21","0.000341665"
"CO","AL","f","22","0.000341665"
"CO","AL","f","23","0.000341665"
"CO","AL","f","24","0.000341665"
"CO","AL","f","25","0.000314834"
"CO","AL","f","26","0.000314834"
"CO","AL","f","27","0.000314834"
"CO","AL","f","28","0.000314834"
"CO","AL","f","29","0.000314834"
"CO","AL","f","30","0.000212345"
"CO","AL","f","31","0.000212345"
"CO","AL","f","32","0.000212345"
"CO","AL","f","33","0.000212345"
"CO","AL","f","34","0.000212345"
"CO","AL","f","35","0.000223124"
"CO","AL","f","36","0.000223124"
"CO","AL","f","37","0.000223124"
"CO","AL","f","38","0.000223124"
"CO","AL","f","39","0.000223124"
"CO","AL","f","40","0.000154515"
"CO","AL","f","41","0.000154515"
"CO","AL","f","42","0.000154515"
"CO","AL","f","43","0.000154515"
"CO","AL","f","44","0.000154515"
"CO","AL","f","45","0.000133104"
"CO","AL","f","46","0.000133104"
"CO","AL","f","47","0.000133104"
"CO","AL","f","48","0.000133104"
"CO","AL","f","49","0.000133104"
"CO","AL","f","50","0.000104049"
"CO","AL","f","51","0.000104049"
"CO","AL","f","52","0.000104049"
"CO","AL","f","53","0.000104049"
"CO","AL","f","54","0.000104049"
